respon,DH_appr,age,PID5,female,followbaseball
1,,65,2,"Female",0
2,1,63,1,"Male",1
3,,56,1,"Female",1
4,,24,,"Female",0
5,,47,5,"Male",0
6,,81,5,"Female",1
7,1,28,1,"Male",1
8,0,76,1,"Male",1
9,,22,2,"Female",0
10,,39,1,"Female",0
11,,43,3,"Male",0
12,,60,5,"Female",1
13,,54,,"Female",0
14,,49,1,"Female",0
15,1,40,5,"Female",1
16,0,45,4,"Male",1
17,,74,,"Female",0
18,1,44,5,"Female",1
19,,63,5,"Female",0
20,,32,1,"Male",0
21,,53,1,"Female",0
22,,57,5,"Female",0
23,,37,5,"Female",0
24,0,57,4,"Male",1
25,,59,2,"Male",0
26,,55,,"Female",0
27,,40,5,"Female",0
28,,36,1,"Female",0
29,,80,5,"Male",1
30,,64,1,"Female",0
31,,87,5,"Female",1
32,,29,1,"Female",1
33,0,23,5,"Male",1
34,,70,5,"Male",1
35,,25,5,"Female",0
36,,57,1,"Male",0
37,,41,4,"Female",0
38,,34,5,"Male",0
39,,60,1,"Male",0
40,,46,5,"Female",0
41,,72,1,"Female",0
42,1,36,5,"Female",1
43,,26,5,"Female",0
44,1,68,2,"Male",1
45,1,64,1,"Male",1
46,,18,4,"Female",0
47,,39,5,"Male",0
48,,79,5,"Female",0
49,,47,5,"Female",0
50,,41,4,"Female",0
51,,35,5,"Female",0
52,0,52,3,"Male",1
53,1,36,,"Male",1
54,0,54,1,"Male",1
55,,42,2,"Female",0
56,,30,4,"Female",0
57,0,53,1,"Male",1
58,,34,,"Female",0
59,,64,5,"Female",0
60,1,48,5,"Male",1
61,,69,5,"Male",0
62,1,57,3,"Female",1
63,1,29,5,"Female",1
64,,31,2,"Female",0
65,,75,2,"Female",0
66,,31,5,"Female",0
67,,35,5,"Female",0
68,1,36,5,"Male",1
69,,24,1,"Male",0
70,,60,1,"Female",0
71,,84,1,"Male",1
72,,89,5,"Male",1
73,,,3,"Female",0
74,,73,1,"Female",1
75,0,29,1,"Male",1
76,,52,1,"Male",0
77,,19,5,"Female",0
78,1,43,5,"Male",1
79,0,45,2,"Female",1
80,,48,5,"Male",0
81,,76,2,"Male",0
82,0,32,1,"Male",1
83,1,62,1,"Female",1
84,1,71,4,"Male",1
85,,56,,"Male",0
86,1,32,4,"Male",1
87,,56,1,"Female",0
88,,53,5,"Female",1
89,,73,,"Male",0
90,1,32,5,"Male",1
91,0,36,1,"Male",1
92,1,34,1,"Male",1
93,,35,1,"Female",0
94,,63,,"Female",0
95,,53,1,"Female",0
96,,64,1,"Female",0
97,,73,1,"Male",0
98,,50,5,"Female",0
99,,45,,"Female",0
100,,84,1,"Female",1
101,,51,1,"Male",1
102,,39,5,"Female",0
103,1,82,4,"Female",1
104,,42,,"Female",0
105,,62,5,"Female",0
106,1,24,4,"Male",1
107,,53,2,"Female",0
108,1,27,3,"Female",1
109,,46,5,"Female",0
110,,70,5,"Female",1
111,,33,5,"Female",0
112,,42,2,"Female",0
113,1,33,5,"Male",1
114,,40,4,"Male",0
115,,51,2,"Male",0
116,,32,5,"Female",0
117,0,42,5,"Male",1
118,,40,1,"Female",0
119,,67,1,"Male",0
120,,65,1,"Female",0
121,1,57,2,"Male",1
122,0,25,1,"Male",1
123,,34,1,"Female",1
124,,50,1,"Male",0
125,,66,5,"Female",0
126,1,31,1,"Male",1
127,0,43,5,"Female",1
128,,40,1,"Female",0
129,,33,5,"Female",0
130,0,66,4,"Male",1
131,,20,2,"Male",0
132,1,29,1,"Female",1
133,,21,2,"Male",0
134,,48,2,"Female",0
135,,,3,"Female",0
136,,59,5,"Female",0
137,,45,5,"Male",0
138,,85,1,"Female",0
139,,40,1,"Female",0
