country,year,ccode,polity,gdppc,coldwar,region
"AFGHANISTAN",1946,700,-10,,1,6
"AFGHANISTAN",1947,700,-10,,1,6
"AFGHANISTAN",1948,700,-10,,1,6
"AFGHANISTAN",1949,700,-10,,1,6
"AFGHANISTAN",1950,700,-10,119,1,6
"AFGHANISTAN",1951,700,-10,143,1,6
"AFGHANISTAN",1952,700,-10,149,1,6
"AFGHANISTAN",1953,700,-10,157,1,6
"AFGHANISTAN",1954,700,-10,156,1,6
"AFGHANISTAN",1955,700,-10,154,1,6
"AFGHANISTAN",1956,700,-10,164,1,6
"AFGHANISTAN",1957,700,-10,163,1,6
"AFGHANISTAN",1958,700,-10,167,1,6
"AFGHANISTAN",1959,700,-10,174,1,6
"AFGHANISTAN",1960,700,-10,179,1,6
"AFGHANISTAN",1961,700,-10,186,1,6
"AFGHANISTAN",1962,700,-10,191,1,6
"AFGHANISTAN",1963,700,-10,196,1,6
"AFGHANISTAN",1964,700,-7,207,1,6
"AFGHANISTAN",1965,700,-7,220,1,6
"AFGHANISTAN",1966,700,-7,229,1,6
"AFGHANISTAN",1967,700,-7,231,1,6
"AFGHANISTAN",1968,700,-7,244,1,6
"AFGHANISTAN",1969,700,-7,264,1,6
"AFGHANISTAN",1970,700,-7,269,1,6
"AFGHANISTAN",1971,700,-7,287,1,6
"AFGHANISTAN",1972,700,-7,309,1,6
"AFGHANISTAN",1973,700,-7,317,1,6
"AFGHANISTAN",1974,700,-7,336,1,6
"AFGHANISTAN",1975,700,-7,381,1,6
"AFGHANISTAN",1976,700,-7,389,1,6
"AFGHANISTAN",1977,700,-7,421,1,6
"AFGHANISTAN",1978,700,-77,464,1,6
"AFGHANISTAN",1979,700,-7,513,1,6
"AFGHANISTAN",1980,700,-7,576,1,6
"AFGHANISTAN",1981,700,-7,626,1,6
"AFGHANISTAN",1982,700,-7,663,1,6
"AFGHANISTAN",1983,700,-7,733,1,6
"AFGHANISTAN",1984,700,-7,699,1,6
"AFGHANISTAN",1985,700,-7,587,1,6
"AFGHANISTAN",1986,700,-7,601,1,6
"AFGHANISTAN",1987,700,-7,717,1,6
"AFGHANISTAN",1988,700,-7,713,1,6
"AFGHANISTAN",1989,700,-8,763,1,6
"AFGHANISTAN",1990,700,-8,773,0,6
"AFGHANISTAN",1991,700,-8,744,0,6
"AFGHANISTAN",1992,700,-77,694,0,6
"AFGHANISTAN",1993,700,-77,793,0,6
"AFGHANISTAN",1994,700,-77,789,0,6
"AFGHANISTAN",1995,700,-77,821,0,6
"AFGHANISTAN",1996,700,-7,891,0,6
"AFGHANISTAN",1997,700,-7,901,0,6
"AFGHANISTAN",1998,700,-7,937,0,6
"AFGHANISTAN",1999,700,-7,,0,6
"ALBANIA",1946,339,-9,,1,3
"ALBANIA",1947,339,-9,,1,3
"ALBANIA",1948,339,-9,,1,3
"ALBANIA",1949,339,-9,,1,3
"ALBANIA",1950,339,-9,398,1,3
"ALBANIA",1951,339,-9,426,1,3
"ALBANIA",1952,339,-9,433,1,3
"ALBANIA",1953,339,-9,439,1,3
"ALBANIA",1954,339,-9,443,1,3
"ALBANIA",1955,339,-9,451,1,3
"ALBANIA",1956,339,-9,466,1,3
"ALBANIA",1957,339,-9,481,1,3
"ALBANIA",1958,339,-9,493,1,3
"ALBANIA",1959,339,-9,498,1,3
"ALBANIA",1960,339,-9,505,1,3
"ALBANIA",1961,339,-9,511,1,3
"ALBANIA",1962,339,-9,518,1,3
"ALBANIA",1963,339,-9,524,1,3
"ALBANIA",1964,339,-9,532,1,3
"ALBANIA",1965,339,-9,542,1,3
"ALBANIA",1966,339,-9,557,1,3
"ALBANIA",1967,339,-9,574,1,3
"ALBANIA",1968,339,-9,599,1,3
"ALBANIA",1969,339,-9,629,1,3
"ALBANIA",1970,339,-9,662,1,3
"ALBANIA",1971,339,-9,695,1,3
"ALBANIA",1972,339,-9,725,1,3
"ALBANIA",1973,339,-9,765,1,3
"ALBANIA",1974,339,-9,834,1,3
"ALBANIA",1975,339,-9,912,1,3
"ALBANIA",1976,339,-9,964,1,3
"ALBANIA",1977,339,-9,1026,1,3
"ALBANIA",1978,339,-9,1099,1,3
"ALBANIA",1979,339,-9,1190,1,3
"ALBANIA",1980,339,-9,1299,1,3
"ALBANIA",1981,339,-9,1421,1,3
"ALBANIA",1982,339,-9,1509,1,3
"ALBANIA",1983,339,-9,1569,1,3
"ALBANIA",1984,339,-9,1627,1,3
"ALBANIA",1985,339,-9,1679,1,3
"ALBANIA",1986,339,-9,1716,1,3
"ALBANIA",1987,339,-9,1767,1,3
"ALBANIA",1988,339,-9,1827,1,3
"ALBANIA",1989,339,-9,1897,1,3
"ALBANIA",1990,339,1,1971,0,3
"ALBANIA",1991,339,1,1979,0,3
"ALBANIA",1992,339,5,2641,0,3
"ALBANIA",1993,339,5,2858,0,3
"ALBANIA",1994,339,5,3078,0,3
"ALBANIA",1995,339,5,3275,0,3
"ALBANIA",1996,339,0,3729,0,3
"ALBANIA",1997,339,5,3372,0,3
"ALBANIA",1998,339,5,3657,0,3
"ALBANIA",1999,339,5,,0,3
"ALGERIA",1962,615,-8,425,1,5
"ALGERIA",1963,615,-8,594,1,5
"ALGERIA",1964,615,-8,671,1,5
"ALGERIA",1965,615,-9,740,1,5
"ALGERIA",1966,615,-9,626,1,5
"ALGERIA",1967,615,-9,668,1,5
"ALGERIA",1968,615,-9,726,1,5
"ALGERIA",1969,615,-9,798,1,5
"ALGERIA",1970,615,-9,910,1,5
"ALGERIA",1971,615,-9,967,1,5
"ALGERIA",1972,615,-9,1154,1,5
"ALGERIA",1973,615,-9,1229,1,5
"ALGERIA",1974,615,-9,1697,1,5
"ALGERIA",1975,615,-9,1909,1,5
"ALGERIA",1976,615,-9,2144,1,5
"ALGERIA",1977,615,-9,2421,1,5
"ALGERIA",1978,615,-9,2610,1,5
"ALGERIA",1979,615,-9,3064,1,5
"ALGERIA",1980,615,-9,3764,1,5
"ALGERIA",1981,615,-9,4347,1,5
"ALGERIA",1982,615,-9,4541,1,5
"ALGERIA",1983,615,-9,4785,1,5
"ALGERIA",1984,615,-9,5029,1,5
"ALGERIA",1985,615,-9,5456,1,5
"ALGERIA",1986,615,-9,4945,1,5
"ALGERIA",1987,615,-9,4648,1,5
"ALGERIA",1988,615,-9,4429,1,5
"ALGERIA",1989,615,-2,4750,1,5
"ALGERIA",1990,615,-2,4478,0,5
"ALGERIA",1991,615,-2,4477,0,5
"ALGERIA",1992,615,-7,4490,0,5
"ALGERIA",1993,615,-7,4313,0,5
"ALGERIA",1994,615,-7,4305,0,5
"ALGERIA",1995,615,-3,4407,0,5
"ALGERIA",1996,615,-3,4600,0,5
"ALGERIA",1997,615,-3,4497,0,5
"ALGERIA",1998,615,-3,4443,0,5
"ALGERIA",1999,615,-3,,0,5
"ANDORRA",1975,232,,5400,1,3
"ANDORRA",1976,232,,5693,1,3
"ANDORRA",1977,232,,6150,1,3
"ANDORRA",1978,232,,6754,1,3
"ANDORRA",1979,232,,7329,1,3
"ANDORRA",1980,232,,8280,1,3
"ANDORRA",1981,232,,9177,1,3
"ANDORRA",1982,232,,9727,1,3
"ANDORRA",1983,232,,10140,1,3
"ANDORRA",1984,232,,10722,1,3
"ANDORRA",1985,232,,11269,1,3
"ANDORRA",1986,232,,12122,1,3
"ANDORRA",1987,232,,12681,1,3
"ANDORRA",1988,232,,13325,1,3
"ANDORRA",1989,232,,14105,1,3
"ANDORRA",1990,232,,15241,0,3
"ANDORRA",1991,232,,15634,0,3
"ANDORRA",1992,232,,15747,0,3
"ANDORRA",1993,232,,16086,0,3
"ANDORRA",1994,232,,16606,0,3
"ANDORRA",1995,232,,17157,0,3
"ANDORRA",1996,232,,17341,0,3
"ANDORRA",1997,232,,17619,0,3
"ANDORRA",1998,232,,18209,0,3
"ANDORRA",1999,232,,,0,3
"ANGOLA",1975,540,-7,834,1,4
"ANGOLA",1976,540,-7,801,1,4
"ANGOLA",1977,540,-7,862,1,4
"ANGOLA",1978,540,-7,951,1,4
"ANGOLA",1979,540,-7,1029,1,4
"ANGOLA",1980,540,-7,1235,1,4
"ANGOLA",1981,540,-7,1237,1,4
"ANGOLA",1982,540,-7,1311,1,4
"ANGOLA",1983,540,-7,1344,1,4
"ANGOLA",1984,540,-7,1338,1,4
"ANGOLA",1985,540,-7,1432,1,4
"ANGOLA",1986,540,-7,1329,1,4
"ANGOLA",1987,540,-7,1487,1,4
"ANGOLA",1988,540,-7,1656,1,4
"ANGOLA",1989,540,-7,1705,1,4
"ANGOLA",1990,540,-7,1774,0,4
"ANGOLA",1991,540,-88,1665,0,4
"ANGOLA",1992,540,-77,1653,0,4
"ANGOLA",1993,540,-88,1037,0,4
"ANGOLA",1994,540,-88,1100,0,4
"ANGOLA",1995,540,-88,1339,0,4
"ANGOLA",1996,540,-88,1419,0,4
"ANGOLA",1997,540,-3,1447,0,4
"ANGOLA",1998,540,-3,1464,0,4
"ANGOLA",1999,540,-3,,0,4
"ANTIGUA",1981,58,,5769,1,
"ANTIGUA",1982,58,,6702,1,
"ANTIGUA",1983,58,,7365,1,
"ANTIGUA",1984,58,,7816,1,
"ANTIGUA",1985,58,,8684,1,
"ANTIGUA",1986,58,,9598,1,
