dyadid,ccode1,ccode2,dem1,dem2,distance,allies
2020,2,20,10,10,0,1
2040,2,40,10,-7,1135,0
2041,2,41,10,-9,1437,1
2042,2,42,10,-3,1477,1
2051,2,51,10,10,1446,0
2052,2,52,10,8,2176,1
2053,2,53,10,,2078,0
2070,2,70,10,-6,0,1
2090,2,90,10,3,1869,1
2091,2,91,10,-1,1824,1
2092,2,92,10,0,1895,1
2093,2,93,10,-8,1935,1
2094,2,94,10,10,2050,1
2095,2,95,10,-7,2076,1
2100,2,100,10,7,2379,1
2101,2,101,10,6,2061,1
2110,2,110,10,1,2513,0
2130,2,130,10,1,2707,1
2135,2,135,10,-7,3524,1
2140,2,140,10,-9,4225,1
2145,2,145,10,-4,3874,1
2150,2,150,10,-8,4611,1
2155,2,155,10,6,5020,1
2160,2,160,10,-9,5221,1
2165,2,165,10,8,5274,1
2200,2,200,10,10,3669,1
2205,2,205,10,10,3386,0
2210,2,210,10,10,3851,1
2211,2,211,10,10,3866,1
2212,2,212,10,10,3972,1
2220,2,220,10,5,3833,1
2225,2,225,10,10,4106,0
2230,2,230,10,-7,3788,0
2235,2,235,10,-9,3568,1
2260,2,260,10,10,3980,1
2265,2,265,10,-9,4019,0
2290,2,290,10,-7,4463,0
2305,2,305,10,10,4431,0
2310,2,310,10,-7,4564,0
2315,2,315,10,,4292,0
2325,2,325,10,10,4488,1
2338,2,338,10,,4803,0
2339,2,339,10,-9,4829,0
2345,2,345,10,-7,4721,0
2350,2,350,10,-7,5133,1
2352,2,352,10,7,5668,0
2355,2,355,10,-7,4921,0
2360,2,360,10,-7,4962,0
2365,2,365,10,-7,4864,0
2375,2,375,10,10,4311,0
2380,2,380,10,10,4127,0
2385,2,385,10,10,3876,1
2390,2,390,10,10,4051,1
2395,2,395,10,10,2807,1
2411,2,411,10,,5837,0
2420,2,420,10,10,4060,0
2432,2,432,10,-7,4554,0
2433,2,433,10,-7,3964,0
2434,2,434,10,-7,5387,0
2435,2,435,10,-7,3904,0
2436,2,436,10,-7,5062,0
2437,2,437,10,-9,4948,0
2438,2,438,10,-9,4381,0
2439,2,439,10,-7,4914,0
2450,2,450,10,-6,4676,0
2451,2,451,10,2,4451,0
2452,2,452,10,-7,5275,0
2461,2,461,10,-7,5326,0
2471,2,471,10,-7,5979,0
2475,2,475,10,-7,5517,0
2481,2,481,10,-7,6019,0
2482,2,482,10,-9,6336,0
2483,2,483,10,-9,5811,0
2484,2,484,10,-7,6534,0
2490,2,490,10,-9,6536,0
2500,2,500,10,-6,7258,0
2501,2,501,10,0,7551,0
2510,2,510,10,-7,7929,0
