name,yrnom,posit,recess,success,id,analu,seatid,spaethid,zukid,birdate,biryear,birthcit,birthst,childcit,childst,childsur,famses,famjud,nomrelig,natorig,race,gender,mothname,fathname,fathoccu,fathpol,fathpoln,undsch,undsta,unddat,undschn,gradsch,gradsta,graddat,gradschn,lawsch,lawsta,lawdat,lawschn,read,readst,readyr,readn,marryn,spouse,marryr,child,militbr,milityr1,milityr2,militran,militwar,clerkj,clerkyr1,clerkyr2,barst1,baryr1,barst2,baryr2,barst3,baryr3,privtyp1,privst1,privyrf1,privyrl1,privtyp2,privst2,privyrf2,privyrl2,schname1,schrank1,schyrf1,schyrl1,schname2,schrank2,schyrf2,schyrl2,schn,schcon,sttrist,sttriyr1,sttriyr2,stapst,stapyr1,stapyr2,stsupst,stsupyr1,stsupyr2,feddist,feddi,feddiyr1,feddiyr2,fedca,fedcayr1,fedcayr2,usasat,usasat1,usasat2,usat,usat1,usat2,ussgo1,ussgo2,ussg1,ussg2,usago1,usago2,usag1,usag2,uscab,uscab1,uscab2,ussec,ussec1,ussec2,usage,usage1,usage2,usagh,usagh1,usagh2,uspres1,uspres2,ushr1,ushryrf1,ushryrl1,ushr2,ushryrf2,ushryrl2,ussn1,ussnyrf1,ussnyrl1,ussn2,ussnyrf2,ussnyrl2,conconv,concong,concong1,concong2,artcon,artcon1,artcon2,artconsp,citat,citat1,citat2,cdep,cdep1,cdep2,cdis,cdis1,cdis2,saag,saag1,saag2,stag,stag1,stag2,ltgov,ltgov1,ltgov2,gov,gov1,gov2,stcab,stcab1,stcab2,mayor,mayor1,mayor2,stsenate,stsen1,stsen2,sthouse,sthse1,sthse2,ctycl,ctycl1,ctycl2,commsn,commsn1,commsn2,datenom,datesen,judnom,usjnom,stjnom,prsznom,prstnom,prposnom,prschnom,govatnom,uslenom,uslesnom,stlenom,stlesnom,stexpnom,stexsnom,usexnom,yrposnom,agenom,stnom,parnom,prparnom,prdssr,presname,prespart,nompres,socpres,econpres,senparty,nomsen,ideo,mednmq1,medmq1,mednmq2,medmq2,qual,abarate,abavote,heardate,heardays,comdvote,comvote,intpro,intanti,sendate,senact,sensupp,senopp,serve,withdraw,dateserb,npart,nops,judgment,ndis,nconr,ncons,percrim,ncrim,percr,ncr,perfir,nfir,perunn,nunn,perecon,necon,perfed,nfed,perftax,nftax,datesere,agedep,reasdep,postdep,scssr,deathd,deathcit,deathst,deathag
"Jay, John",1789,chief ju,"no, not","yes, nom","1. jay, john",first re,1.01,1,888,12/12/1745,1745,new york,new york,"rye, new",new york,family f,upper,no tradi,episcopa,french/dutch,white,male,"Cortlandt, Mary Van","Jay, Peter",merchant,no polit,no polit,columbia,graduate,1764,1,no gradu,no gradu,no gradu,no gradu,no law s,no law s,no law s,no law s,"Kissam, Benjamin",new york,1768,nominee,1,"Livingston, Sarah Van Brugh",1774,7,new york,1776,1778,colonel,revoluti,nominee did not clerk for a supreme court justice,nominee,nominee,new york,1768,nominee,nominee,nominee,nominee,small pa,new york,1768,1774,only one,only one,only one,only one,didn't t,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,new york,1777,1778,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,"state, d",1784,1789,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,no: nomi,new york,1774,1779,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee did not serve on a st commission,nominee,nominee,09/24/1789,09/24/1789,nominee,nominee,nominee,not a pv,not a pv,nominee,nominee,nominee,nominee,nominee,nominee,nominee,888,nominee,secretar,5,43,new york,federali,no known,ORIGINAL NOMINATION,"washington, george",federali,data unav,data unav,data unav,federali,0.2095,data unav,data una,data unav,data una,data unav,data unav,no aba rating,no aba r,999. PREDATE,nominati,999. PREDATE,nominati,no recor,no recor,09/26/1789,confirme,voice vo,voice vo,nominee,888. NOMINATION NOT WITHDRAWN,10/19/1789,data unavail,data unavail,data unavail,data unavail,data unavail,data unavail,data unav,data unavail,data unav,data unavail,data unav,data unavail,data unav,data unavail,data unav,data unavail,data unav,data unavail,data unav,data unavail,06/29/1795,49,departed to take another position,governor,"Ellsworth, Oliver",05/17/1829,"bedford,",new york,83
"Rutledge, John",1789,associat,"no, not","yes, nom","2. rutledge, john",first re,2.01,2,888,09/18/1739,1739,charlest,south ca,charlest,south ca,urban (l,upper,no tradi,episcopa,english/scotch,white,male,"Hext, Sarah","Rutledge, John",physician,no polit,no polit,no under,no under,no under,no under,no gradu,no gradu,no gradu,no gradu,middle t,attended,1760,1,"Parson, James",south ca,1757,nominee,1,"Grimke, Elizabeth",1763,10,did not,did not,did not,did not,did not,nominee did not clerk for a supreme court justice,nominee,nominee,england,1760,nominee,nominee,nominee,nominee,solo pra,south ca,1761,1774,only one,only one,only one,only one,didn't t,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,south ca,1784,1790,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,yes: nom,south ca,1774,1776,south ca,1782,1783,no,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,south ca,1764,1765,nominee,nominee,nominee,south ca,1779,1782,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,south ca,1761,1778,nominee,nominee,nominee,south carolina: convention to ratify the u.s. constitution,1788,1788,09/24/1789,09/24/1789,state tr,nominee,south ca,not a pv,not a pv,nominee,nominee,nominee,nominee,nominee,nominee,nominee,888,nominee,nominee,5,50,south ca,federali,no known,ORIGINAL NOMINATION,"washington, george",federali,data unav,data unav,data unav,federali,0.2095,data unav,data una,data unav,data una,data unav,data unav,no aba rating,no aba r,999. PREDATE,nominati,999. PREDATE,nominati,no recor,no recor,09/26/1789,confirme,voice vo,voice vo,nominee,888. NOMINATION NOT WITHDRAWN,02/15/1790,data unavail,data unavail,data unavail,data unavail,data unavail,data unavail,data unav,data unavail,data unav,data unavail,data unav,data unavail,data unav,data unavail,data unav,data unavail,data unav,data unavail,data unav,data unavail,03/05/1791,51,departed to take another position,state su,"Johnson, Thomas",07/18/1800,charlest,south ca,60
"Cushing, William",1789,associat,"no, not","yes, nom","3. cushing, william",first re,3.01,3,888,03/01/1732,1732,scituate,massachu,scituate,massachu,small to,upper,"yes, tra",congrega,english,white,male,"Cotton, Mary","Cushing, John",lawyer,state ju,1,harvard,graduate,1751,1,no gradu,no gradu,no gradu,no gradu,no law s,no law s,no law s,no law s,"Gridley, Jeremiah",massachu,1755,nominee,1,"Phillips, Hannah",1774,0,did not,did not,did not,did not,did not,nominee did not clerk for a supreme court justice,nominee,nominee,massachu,1755,nominee,nominee,nominee,nominee,solo pra,massachu,1758,1760,solo pra,maine,1760,1771,didn't t,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,massachu,1772,1777,nominee,nominee,nominee,massachu,1777,1789,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,no: nomi,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,massachusetts: state constitutional convention,1779,1779,09/24/1789,09/24/1789,state hi,nominee,massachu,not a pv,not a pv,nominee,nominee,nominee,nominee,nominee,nominee,nominee,888,nominee,nominee,9,57,massachu,federali,no known,ORIGINAL NOMINATION,"washington, george",federali,data unav,data unav,data unav,federali,0.2095,data unav,data una,data unav,data una,data unav,data unav,no aba rating,no aba r,999. PREDATE,nominati,999. PREDATE,nominati,no recor,no recor,09/26/1789,confirme,voice vo,voice vo,nominee,888. NOMINATION NOT WITHDRAWN,02/02/1790,data unavail,data unavail,data unavail,data unavail,data unavail,data unavail,data unav,data unavail,data unav,data unavail,data unav,data unavail,data unav,data unavail,data unav,data unavail,data unav,data unavail,data unav,data unavail,09/13/1810,78,died in office,justice,"Story, Joseph",09/13/1810,scituate,massachu,78
"Harrison, Robert H.",1789,associat,"no, not","no, nomi","4. harrison, robert h.",first re,6.01,no spaet,888,999. UNKNOWN,1745,charles,maryland,charles,maryland,rural,upper,no tradi,church o,english,white,male,"Hanson, Dorothy","Harrison, Richard",landowner,unknown,unknown,no under,no under,no under,no under,no gradu,no gradu,no gradu,no gradu,no law s,no law s,no law s,no law s,999. UNKNOWN,unknown,unknown,unknown,2,"Dent, Grace",unknown,2,continen,1775,1781,lt. colo,revoluti,nominee did not clerk for a supreme court justice,nominee,nominee,maryland,unknown,virginia,unknown,nominee,nominee,solo pra,virginia,1769,1775,only one,only one,only one,only one,didn't t,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,maryland,1781,1789,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,no: nomi,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,maryland,1781,unknown,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee did not serve on a st commission,nominee,nominee,09/24/1789,09/24/1789,state tr,nominee,maryland,not a pv,not a pv,nominee,nominee,nominee,nominee,nominee,nominee,nominee,888,nominee,nominee,8,44,maryland,federali,no known,ORIGINAL NOMINATION,"washington, george",federali,data unav,data unav,data unav,federali,0.2095,data unav,data una,data unav,data una,data unav,data unav,no aba rating,no aba r,999. PREDATE,nominati,999. PREDATE,nominati,no recor,no recor,09/26/1789,confirme,voice vo,voice vo,nominee,888. NOMINATION NOT WITHDRAWN,888. NOT CONFIRMED OR DIDN'T SERVE,nominee not,nominee not,nominee not,nominee not,nominee not,nominee not,nominee n,nominee not,nominee n,nominee not,nominee n,nominee not,nominee n,nominee not,nominee n,nominee not,nominee n,nominee not,nominee n,nominee not,888. NOMINEE NOT CONFIRMED OR DIDN'T SERVE,nominee,nominee not confirmed or did not serve,nominee,888. NOMINEE NOT CONFIRMED OR DIDN'T SERVE,04/02/1790,charles,maryland,45
"Wilson, James",1789,associat,"no, not","yes, nom","5. wilson, james",first re,4.01,4,888,09/14/1742,1742,caskardy,scotland,unknown,scotland,rural,lower,no tradi,episcopa,scotch,white,male,"Lansdale, Alison","Wilson, William",small farmer,no polit,no polit,st. andr,attended,1760,1,no gradu,no gradu,no gradu,no gradu,no law s,no law s,no law s,no law s,"Dickinson, John",pennsylv,1767,nominee,2,"Gray, Hannah",1793,7,did not,did not,did not,did not,did not,nominee did not clerk for a supreme court justice,nominee,nominee,pennsylv,1767,nominee,nominee,nominee,nominee,solo pra,pennsylv,1768,1770,solo pra,pennsylv,1778,1789,pennsylv,professo,1789,1790,nominee,nominee,nominee,nominee,1,no,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,yes: nom,pennsylv,1775,1777,pennsylv,1783,1787,yes,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,pennsylvania: convention to ratify the u.s. constitution,1787,1787,09/24/1789,09/24/1789,nominee,nominee,nominee,solo pra,pennsylv,nominee,nominee,nominee,nominee,nominee,nominee,nominee,888,nominee,nominee,21,47,pennsylv,federali,no known,ORIGINAL NOMINATION,"washington, george",federali,data unav,data unav,data unav,federali,0.2095,data unav,data una,data unav,data una,data unav,data unav,no aba rating,no aba r,999. PREDATE,nominati,999. PREDATE,nominati,no recor,no recor,09/26/1789,confirme,voice vo,voice vo,nominee,888. NOMINATION NOT WITHDRAWN,10/05/1789,data unavail,data unavail,data unavail,data unavail,data unavail,data unavail,data unav,data unavail,data unav,data unavail,data unav,data unavail,data unav,data unavail,data unav,data unavail,data unav,data unavail,data unav,data unavail,08/21/1798,55,died in office,justice,"Washington, Bushrod",08/21/1798,"edenton,",north ca,55
"Blair, John, Jr.",1789,associat,"no, not","yes, nom","6. blair, john, jr.",first re,5.01,5,888,999. UNKNOWN,1732,williams,virginia,williams,virginia,family p,upper,no tradi,episcopa,scotch/irish,white,male,"Monro, Mary","Blair, John",plantation owner,state le,3,william,graduate,1754,1,no gradu,no gradu,no gradu,no gradu,middle t,attended,1756,1,888. NOMINEE DID NOT READ LAW,nominee,nominee,nominee,1,"Balfour, Jean",1756,unknown,did not,did not,did not,did not,did not,nominee did not clerk for a supreme court justice,nominee,nominee,virginia,1756,nominee,nominee,nominee,nominee,solo pra,virginia,1756,1777,only one,only one,only one,only one,didn't t,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,virginia,1777,1779,nominee,nominee,nominee,virginia,1780,1789,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,yes: nom,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,virginia,1776,1778,nominee,nominee,nominee,nominee,nominee,nominee,virginia,1766,1770,nominee,nominee,nominee,virginia: state constitutionl convention,1776,1776,09/24/1789,09/24/1789,state hi,nominee,virginia,not a pv,not a pv,nominee,nominee,nominee,nominee,nominee,nominee,nominee,888,nominee,nominee,9,57,virginia,federali,no known,ORIGINAL NOMINATION,"washington, george",federali,data unav,data unav,data unav,federali,0.2095,data unav,data una,data unav,data una,data unav,data unav,no aba rating,no aba r,999. PREDATE,nominati,999. PREDATE,nominati,no recor,no recor,09/26/1789,confirme,voice vo,voice vo,nominee,888. NOMINATION NOT WITHDRAWN,02/02/1790,data unavail,data unavail,data unavail,data unavail,data unavail,data unavail,data unav,data unavail,data unav,data unavail,data unav,data unavail,data unav,data unavail,data unav,data unavail,data unav,data unavail,data unav,data unavail,01/27/1796,64,declining health,justice,"Chase, Samuel",08/31/1800,williams,virginia,68
"Iredell, James",1790,associat,"no, not","yes, nom","7. iredell, james",first re,6.02,6,888,10/05/1751,1751,"lewes, e",england,"bristol,",england,urban (l,middle,no tradi,episcopa,english/irish,white,male,"McCulloch, Margaret","Iredell, Francis",merchant,no polit,no polit,no under,no under,no under,no under,no gradu,no gradu,no gradu,no gradu,no law s,no law s,no law s,no law s,"Johnston, Samuel",north ca,1770,nominee,1,"Johnston, Hannah",1773,3,did not,did not,did not,did not,did not,nominee did not clerk for a supreme court justice,nominee,nominee,north ca,1770,nominee,nominee,nominee,nominee,solo pra,north ca,1770,1777,solo pra,north ca,1782,1790,didn't t,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,north ca,1777,1778,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,customs,1768,1776,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,no: nomi,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,north ca,1779,1781,nominee,nominee,nominee,nominee,nominee,nominee,north ca,1787,1787,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,north carolina: convention to ratify the u.s. constitution,1788,1788,02/08/1790,02/09/1790,nominee,nominee,nominee,solo pra,north ca,nominee,nominee,nominee,nominee,nominee,nominee,nominee,888,nominee,nominee,8,38,north ca,federali,no known,ORIGINAL NOMINATION,"washington, george",federali,data unav,data unav,data unav,federali,0.2095,data unav,data una,data unav,data una,data unav,data unav,no aba rating,no aba r,999. PREDATE,nominati,999. PREDATE,nominati,no recor,no recor,02/10/1790,confirme,voice vo,voice vo,nominee,888. NOMINATION NOT WITHDRAWN,05/12/1790,data unavail,data unavail,data unavail,data unavail,data unavail,data unavail,data unav,data unavail,data unav,data unavail,data unav,data unavail,data unav,data unavail,data unav,data unavail,data unav,data unavail,data unav,data unavail,10/20/1799,48,died in office,justice,"Moore, Alfred",10/20/1799,"edenton,",north ca,48
"Johnson, Thomas",1791,associat,"yes, rec",recess a,"8. johnson, thomas",first re,2.02,7,888,11/04/1732,1732,calvert,maryland,calvert,maryland,family p,upper,no tradi,episcopa,english,white,male,"Sedgwick, Dorcas","Johnson, Thomas",plantation owner,state le,1,no under,no under,no under,no under,no gradu,no gradu,no gradu,no gradu,no law s,no law s,no law s,no law s,"Bordley, Stephen",maryland,1760,nominee,1,"Jennings, Ann",1766,8,maryland,1776,1777,brigadie,revoluti,nominee did not clerk for a supreme court justice,nominee,nominee,maryland,1760,nominee,nominee,nominee,nominee,solo pra,maryland,1760,1776,only one,only one,only one,only one,didn't t,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,maryland,1790,1791,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,no: nomi,maryland,1774,1777,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,maryland,1777,1779,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,maryland,1780,1782,nominee,nominee,nominee,maryland: state constitutional convention,1776,1776,08/05/1791,RECESS APPT,state tr,nominee,maryland,not a pv,not a pv,nominee,nominee,nominee,nominee,nominee,nominee,nominee,888,nominee,nominee,1,58,maryland,federali,no known,"Rutledge, John","washington, george",federali,data unav,data unav,data unav,federali,0.096,data unav,data una,data unav,data una,data unav,recess ap,recess appointment,recess a,777. RECESS APPOINTMENT,recess a,777. RECESS APPOINTMENT,recess a,recess a,recess a,777. RECESS APPT,recess a,recess a,recess a,recess a,777. RECESS APPOINTMENT,09/19/1791,data unavail,data unavail,data unavail,data unavail,data unavail,data unavail,data unav,data unavail,data unav,data unavail,data unav,data unavail,data unav,data unavail,data unav,data unavail,data unav,data unavail,data unav,data unavail,08/06/1792,59,recess appointee confirmed,u.s. sup,666. RECESS APPOINTEE REPLACED HIMSELF,10/26/1819,frederic,maryland,86
"Johnson, Thomas",1791,associat,"no, not","yes, nom","9. johnson, thomas",second r,2.03,7,888,11/04/1732,1732,calvert,maryland,calvert,maryland,family p,upper,no tradi,episcopa,english,white,male,"Sedgwick, Dorcas","Johnson, Thomas",plantation owner,state le,1,no under,no under,no under,no under,no gradu,no gradu,no gradu,no gradu,no law s,no law s,no law s,no law s,"Bordley, Stephen",maryland,1760,nominee,1,"Jennings, Ann",1766,8,maryland,1776,1777,brigadie,revoluti,nominee did not clerk for a supreme court justice,nominee,nominee,maryland,1760,nominee,nominee,nominee,nominee,solo pra,maryland,1760,1776,only one,only one,only one,only one,didn't t,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,maryland,1790,1791,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,no: nomi,maryland,1774,1777,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,maryland,1777,1779,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,maryland,1780,1782,nominee,nominee,nominee,maryland: state constitutional convention,1776,1776,10/31/1791,11/01/1791,u.s. sup,u.s. sup,nominee,not a pv,not a pv,nominee,nominee,nominee,nominee,nominee,nominee,nominee,888,nominee,nominee,1,58,maryland,federali,no known,"Rutledge, John","washington, george",federali,data unav,data unav,data unav,federali,0.096,data unav,data una,data unav,data una,data unav,data unav,no aba rating,no aba r,999. PREDATE,nominati,999. PREDATE,nominati,no recor,no recor,11/07/1791,confirme,voice vo,voice vo,nominee,888. NOMINATION NOT WITHDRAWN,08/06/1792,data unavail,data unavail,data unavail,data unavail,data unavail,data unavail,data unav,data unavail,data unav,data unavail,data unav,data unavail,data unav,data unavail,data unav,data unavail,data unav,data unavail,data unav,data unavail,01/16/1793,60,declining health,justice,"Paterson, William",10/26/1819,frederic,maryland,86
"Paterson, William",1793,associat,"no, not","no, nomi","10. paterson, william",first re,2.04,8,888,12/24/1745,1745,county a,ireland,princeto,new jers,small to,upper-mi,no tradi,presbyte,scotch/irish,white,male,Mary,"Paterson, Richard",manufacturer of tin plate,no polit,no polit,princeto,graduate,1763,1,princeto,m.a. or,1776,1,no law s,no law s,no law s,no law s,"Stockton, Richard",new jers,1769,nominee,2,"White, Euphemia",1785,3,minuteme,1776,1778,officer,revoluti,nominee did not clerk for a supreme court justice,nominee,nominee,new jers,1769,nominee,nominee,nominee,nominee,solo pra,new jers,1769,1776,solo pra,new jers,1783,1788,didn't t,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,new jers,1789,1790,nominee,nominee,nominee,yes: nom,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,new jers,1776,1783,nominee,nominee,nominee,new jers,1790,1793,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,new jers,1775,1776,nominee,nominee,nominee,new jersey: state constitutional convention,1776,1776,02/27/1793,02/27/1793,nominee,nominee,nominee,not a pv,not a pv,nominee,nominee,nominee,nominee,nominee,nominee,nominee,governor,new jers,nominee,3,47,new jers,federali,no known,"Johnson, Thomas","washington, george",federali,data unav,data unav,data unav,federali,0.096,data unav,data una,data unav,data una,data unav,data unav,no aba rating,no aba r,999. PREDATE,nominati,999. PREDATE,nominati,no recor,no recor,888. NO RECORD OF ACTION,no recor,no vote,no vote,nominati,02/28/1793,888. NOT CONFIRMED OR DIDN'T SERVE,nominee not,nominee not,nominee not,nominee not,nominee not,nominee not,nominee n,nominee not,nominee n,nominee not,nominee n,nominee not,nominee n,nominee not,nominee n,nominee not,nominee n,nominee not,nominee n,nominee not,888. NOMINEE NOT CONFIRMED OR DIDN'T SERVE,nominee,nominee not confirmed or did not serve,nominee,888. NOMINEE NOT CONFIRMED OR DIDN'T SERVE,09/09/1806,"albany,",new york,60
