"","name","yrnom","posit","recess","success","id","analu","seatid","spaethid","zukid","birdate","biryear","birthcit","birthst","childcit","childst","childsur","famses","famjud","nomrelig","natorig","race","gender","mothname","fathname","fathoccu","fathpol","fathpoln","undsch","undsta","unddat","undschn","gradsch","gradsta","graddat","gradschn","lawsch","lawsta","lawdat","lawschn","read","readst","readyr","readn","marryn","spouse","marryr","child","militbr","milityr1","milityr2","militran","militwar","clerkj","clerkyr1","clerkyr2","barst1","baryr1","barst2","baryr2","barst3","baryr3","privtyp1","privst1","privyrf1","privyrl1","privtyp2","privst2","privyrf2","privyrl2","schname1","schrank1","schyrf1","schyrl1","schname2","schrank2","schyrf2","schyrl2","schn","schcon","sttrist","sttriyr1","sttriyr2","stapst","stapyr1","stapyr2","stsupst","stsupyr1","stsupyr2","feddist","feddi","feddiyr1","feddiyr2","fedca","fedcayr1","fedcayr2","usasat","usasat1","usasat2","usat","usat1","usat2","ussgo1","ussgo2","ussg1","ussg2","usago1","usago2","usag1","usag2","uscab","uscab1","uscab2","ussec","ussec1","ussec2","usage","usage1","usage2","usagh","usagh1","usagh2","uspres1","uspres2","ushr1","ushryrf1","ushryrl1","ushr2","ushryrf2","ushryrl2","ussn1","ussnyrf1","ussnyrl1","ussn2","ussnyrf2","ussnyrl2","conconv","concong","concong1","concong2","artcon","artcon1","artcon2","artconsp","citat","citat1","citat2","cdep","cdep1","cdep2","cdis","cdis1","cdis2","saag","saag1","saag2","stag","stag1","stag2","ltgov","ltgov1","ltgov2","gov","gov1","gov2","stcab","stcab1","stcab2","mayor","mayor1","mayor2","stsenate","stsen1","stsen2","sthouse","sthse1","sthse2","ctycl","ctycl1","ctycl2","commsn","commsn1","commsn2","datenom","datesen","judnom","usjnom","stjnom","prsznom","prstnom","prposnom","prschnom","govatnom","uslenom","uslesnom","stlenom","stlesnom","stexpnom","stexsnom","usexnom","yrposnom","agenom","stnom","parnom","prparnom","prdssr","presname","prespart","nompres","socpres","econpres","senparty","nomsen","ideo","mednmq1","medmq1","mednmq2","medmq2","qual","abarate","abavote","heardate","heardays","comdvote","comvote","intpro","intanti","sendate","senact","sensupp","senopp","serve","withdraw","dateserb","npart","nops","judgment","ndis","nconr","ncons","percrim","ncrim","percr","ncr","perfir","nfir","perunn","nunn","perecon","necon","perfed","nfed","perftax","nftax","datesere","agedep","reasdep","postdep","scssr","deathd","deathcit","deathst","deathag","JID"
"124","Black, Hugo Lafayette",1937,"associat","no, not","yes, nom","124. black, hugo lafayette","first re",2.24,"78","888","02/27/1886",1886,"harlan,","alabama","ashland,","alabama","small to","lower-mi","no tradi","baptist","scotch/irish","white","male","Toland, Martha A.","Black, William L.","storekeeper","no polit","no polit","birmingh","attended","1904","1","no gradu","no gradu","no gradu","no gradu","alabama,","graduate","1906","1","888. NOMINEE DID NOT READ LAW","nominee","nominee","nominee","2","DeMerritte, Elizabeth Seay","1957","3","army","1917","1918","captain","world wa","nominee did not clerk for a supreme court justice","nominee","nominee","alabama","1906","nominee","nominee","nominee","nominee","solo pra","alabama","1906","1906","solo pra","alabama","1918","1926","didn't t","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","alabama","1910","1911","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","alabama","1927","1937","nominee","nominee","nominee","no: nomi","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","alabama","1915","1917","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee did not serve on a st commission","nominee","nominee","8/12/37","8/12/37","nominee","nominee","nominee","not a pv","not a pv","nominee","nominee","nominee","member o","alabama","nominee","nominee","888","nominee","nominee","10",51,"alabama","democrat","no known","Van Devanter, Willis","roosevelt, franklin delano","democrat","-0.377","71.6","82.5","democrat",-0.17,"0.875","data una","data unav","data una","data unav","0.16","no aba rating","no aba r","666. NO RECORD OF HEARING","referred","8/16/37","reported","no recor","no recor","8/17/37","confirme","63","16","nominee","888. NOMINATION NOT WITHDRAWN","8/19/37","data unavail","data unavail","data unavail","data unavail","data unavail","data unavail","data unav","data unavail","data unav","data unavail","data unav","data unavail","data unav","data unavail","data unav","data unavail","data unav","data unavail","data unav","data unavail","9/17/71","85","declining health","justice","Powell, Lewis Franklin, Jr.","9/25/71","washingt","district","85",78
"125","Reed, Stanley Forman",1938,"associat","no, not","yes, nom","125. reed, stanley forman","first re",7.12,"79","888","12/31/1884",1884,"minerva,","kentucky","minerva,","kentucky","small to","upper-mi","no tradi","protesta","english","white","male","Forman, Frances","Reed, John A.","physician","no polit","no polit","yale uni","graduate","1906","2","no gradu","no gradu","no gradu","no gradu","paris, u","attended","1910","3","888. NOMINEE DID NOT READ LAW","nominee","nominee","nominee","1","Elgin, Winifred","1908","2","army","1917","1918","lieutena","world wa","nominee did not clerk for a supreme court justice","nominee","nominee","kentucky","1910","nominee","nominee","nominee","nominee","solo pra","kentucky","1910","1916","law  fir","kentucky","1919","1929","didn't t","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","1935","1938","1935","1935","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","reconstr","1932","1935","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","no: nomi","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","kentucky","1912","1916","nominee","nominee","nominee","nominee did not serve on a st commission","nominee","nominee","1/15/38","1/15/38","nominee","nominee","nominee","not a pv","not a pv","nominee","nominee","u.s. sol","nominee","nominee","nominee","nominee","888","nominee","nominee","3",53,"kentucky","democrat","no known","Sutherland, George","roosevelt, franklin delano","democrat","-0.377","71.6","82.5","democrat",-0.17,"0.725","data una","data unav","hughes,","-0.377","0.875","no aba rating","no aba r","1/20/38","1","1/24/38","reported","data una","data una","1/25/38","confirme","voice vo","voice vo","nominee","888. NOMINATION NOT WITHDRAWN","1/31/38","data unavail","data unavail","data unavail","data unavail","data unavail","data unavail","data unav","data unavail","data unav","data unavail","data unav","data unavail","data unav","data unavail","data unav","data unavail","data unav","data unavail","data unav","data unavail","2/25/57","72","declining health","u.s. civ","Whittaker, Charles Evans","4/2/80","huntingt","new york","95",79
"126","Frankfurter, Felix",1939,"associat","no, not","yes, nom","126. frankfurter, felix","first re",3.15,"80","888","11/15/1882",1882,"vienna,","austria","vienna,","austria","urban (l","lower-mi","no tradi","jewish","austrian","white","male","Winter, Emma","Frankfurter, Leopold","merchant","no polit","no polit","college","graduate","1902","1","no gradu","no gradu","no gradu","no gradu","harvard","graduate","1906","1","888. NOMINEE DID NOT READ LAW","nominee","nominee","nominee","1","Denman, Marion A.","1919","0","army","1917","1920","major","world wa","nominee did not clerk for a supreme court justice","nominee","nominee","new york","1905","nominee","nominee","nominee","nominee","law  fir","new york","1906","1906","law  fir","new york","1909","1910","harvard","professo","1914","1917","harvard","professo","1919","1939","2","yes","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","new york","1906","1909","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","labor, d","1918","1919","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","no: nomi","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee did not serve on a st commission","nominee","nominee","1/5/39","1/5/39","nominee","nominee","nominee","not a pv","not a pv","professo","harvard","nominee","nominee","nominee","nominee","nominee","888","nominee","nominee","20",56,"massachu","independ","no known","Cardozo, Benjamin Nathan","roosevelt, franklin delano","democrat","-0.377","71.6","82.5","democrat",-0.114,"0.665","brandeis","-0.563","brandeis","-0.508","0.965","no aba rating","no aba r","1/7/39","4","1/16/39","reported","data una","data una","1/17/39","confirme","voice vo","voice vo","nominee","888. NOMINATION NOT WITHDRAWN","1/30/39","data unavail","data unavail","data unavail","data unavail","data unavail","data unavail","data unav","data unavail","data unav","data unavail","data unav","data unavail","data unav","data unavail","data unav","data unavail","data unav","data unavail","data unav","data unavail","8/28/62","79","declining health","justice","Goldberg, Arthur Joseph","2/22/65","washingt","district","82",80
"127","Douglas, William Orville",1939,"associat","no, not","yes, nom","127. douglas, william orville","first re",5.13,"81","888","10/16/1898",1898,"maine, m","minnesot","yakima,","washingt","small to","lower","no tradi","presbyte","scotch","white","male","Bickford, Julia F.","Douglas, William","presbyterian minister","no polit","no polit","whitman","graduate","1920","1","no gradu","no gradu","no gradu","no gradu","columbia","graduate","1925","1","888. NOMINEE DID NOT READ LAW","nominee","nominee","nominee","4","Heffernan, Cathleen","1966","2","army","1918","1918","private","world wa","nominee did not clerk for a supreme court justice","nominee","nominee","new york","1925","nominee","nominee","nominee","nominee","law  fir","new york","1925","1926","small pa","washingt","1927","1928","columbia","assistan","1927","1928","yale uni","professo","1929","1936","2","no","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","securiti","1936","1937","securiti","1937","1939","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","no: nomi","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee did not serve on a st commission","nominee","nominee","3/20/39","3/20/39","nominee","nominee","nominee","not a pv","not a pv","nominee","nominee","nominee","nominee","nominee","nominee","nominee","888","nominee","securiti","3",40,"connecti","democrat","no known","Brandeis, Louis Dembitz","roosevelt, franklin delano","democrat","-0.377","71.6","82.5","democrat",-0.114,"0.73","brandeis","-0.563","stone, h","-0.742","0.82","no aba rating","no aba r","3/24/39","1","3/27/39","reported","data una","data una","4/4/39","confirme","62","4","nominee","888. NOMINATION NOT WITHDRAWN","4/17/39","data unavail","data unavail","data unavail","data unavail","data unavail","data unavail","data unav","data unavail","data unav","data unavail","data unav","data unavail","data unav","data unavail","data unav","data unavail","data unav","data unavail","data unav","data unavail","11/12/75","77","declining health","justice","Stevens, John Paul","1/19/80","washingt","district","81",81
"128","Murphy, Francis (Frank) William",1940,"associat","no, not","yes, nom","128. murphy, francis (frank) william","first re",6.12,"82","888","04/13/1890",1890,"harbor b","michigan","harbor b","michigan","small to","middle","no tradi","roman ca","irish","white","male","Brennan, Mary","Murphy, John","lawyer","no polit","no polit","michigan","graduate","1912","1","no gradu","no gradu","no gradu","no gradu","michigan","graduate","1914","3","888. NOMINEE DID NOT READ LAW","nominee","nominee","nominee","never ma","888. NEVER MARRIED","never ma","never ma","army","1942","1942","lt. colo","world wa","nominee did not clerk for a supreme court justice","nominee","nominee","michigan","1914","nominee","nominee","nominee","nominee","law  fir","michigan","1914","1917","small pa","michigan","1920","1923","detroit,","lecturer","1914","1917","detroit,","professo","1922","1927","2","yes","michigan","1923","1930","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","michigan","1919","1920","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","1939","1940","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","high com","1933","1936","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","no: nomi","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","michigan","1937","1939","nominee","nominee","nominee","detroit,","1930","1933","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee did not serve on a st commission","nominee","nominee","1/4/40","1/4/40","nominee","nominee","nominee","not a pv","not a pv","nominee","nominee","u.s. att","nominee","nominee","nominee","nominee","888","nominee","nominee","1",49,"michigan","democrat","no known","Butler, Pierce","roosevelt, franklin delano","democrat","-0.377","71.6","82.5","democrat",-0.114,"1","stone, h","-0.742","reed, st","-0.987","0.65","no aba rating","no aba r","666. NO RECORD OF HEARING","referred","1/15/40","reported","no recor","no recor","1/16/40","confirme","voice vo","voice vo","nominee","888. NOMINATION NOT WITHDRAWN","2/5/40","data unavail","data unavail","data unavail","data unavail","data unavail","data unavail","data unav","data unavail","data unav","data unavail","data unav","data unavail","data unav","data unavail","data unav","data unavail","data unav","data unavail","data unav","data unavail","7/19/49","59","died in office","justice","Clark, Tom Campbell","7/19/49","detroit,","michigan","59",82
"130","Byrnes, James Frances",1941,"associat","no, not","yes, nom","130. byrnes, james francis","first re",4.18,"83","888","05/02/1879",1879,"charlest","south ca","charlest","south ca","urban (l","lower","no tradi","episcopa","irish","white","male","McSweeney, Elizabeth","Byrnes, James","municipal clerk","no polit","no polit","no under","no under","no under","no under","no gradu","no gradu","no gradu","no gradu","no law s","no law s","no law s","no law s","Self taught","south ca","1903","self-tau","1","Busch, Maude","1906","0","did not","did not","did not","did not","did not","nominee did not clerk for a supreme court justice","nominee","nominee","south ca","1903","nominee","nominee","nominee","nominee","solo pra","south ca","1903","1908","law  fir","south ca","1924","1930","didn't t","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","south ca","1911","1925","nominee","nominee","nominee","south ca","1931","1941","nominee","nominee","nominee","no: nomi","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","south ca","1908","1910","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee did not serve on a st commission","nominee","nominee","6/12/41","6/12/41","nominee","nominee","nominee","not a pv","not a pv","nominee","nominee","nominee","member o","south ca","nominee","nominee","888","nominee","nominee","10",62,"south ca","democrat","no known","McReynolds, James Clark","roosevelt, franklin delano","democrat","-0.377","71.6","82.5","democrat",-0.117,"0.33","reed, st","-0.987","reed, st","-0.579","0.8","no aba rating","no aba r","888. NO REFERRAL","no refer","888. NO REFERRAL","no refer","no recor","no recor","6/12/41","confirme","voice vo","voice vo","nominee","888. NOMINATION NOT WITHDRAWN","7/8/41","data unavail","data unavail","data unavail","data unavail","data unavail","data unavail","data unav","data unavail","data unav","data unavail","data unav","data unavail","data unav","data unavail","data unav","data unavail","data unav","data unavail","data unav","data unavail","10/3/42","63","departed to take another position","office o","Rutledge, Wiley Blount","4/9/72","columbia","south ca","92",83
"131","Jackson, Robert Houghwout",1941,"associat","no, not","yes, nom","131. jackson, robert houghwout","first re",10.04,"84","888","02/13/1892",1892,"spring c","pennsylv","frewsbur","new york","small to","middle","no tradi","episcopa","scotch","white","male","Houghwout, Angelina","Jackson, William E.","farm owner","no polit","no polit","no under","no under","no under","no under","no gradu","no gradu","no gradu","no gradu","albany","attended","1912","1","888. NOMINEE DID NOT READ LAW","nominee","nominee","nominee","1","Gerhardt, Irene","1916","2","did not","did not","did not","did not","did not","nominee did not clerk for a supreme court justice","nominee","nominee","new york","1913","nominee","nominee","nominee","nominee","solo pra","new york","1913","1917","solo pra","new york","1918","1934","didn't t","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","1938","1939","1936","1938","1940","1941","treasury","1934","1938","nominee","nominee","nominee","securiti","1935","1938","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","no: nomi","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee did not serve on a st commission","nominee","nominee","6/12/41","6/12/41","nominee","nominee","nominee","not a pv","not a pv","nominee","nominee","u.s. att","nominee","nominee","nominee","nominee","888","nominee","nominee","1",49,"new york","democrat","no known","Stone, Harlan Fiske","roosevelt, franklin delano","democrat","-0.377","71.6","82.5","democrat",-0.117,"1","reed, st","-0.987","reed, st","-0.579","0.915","no aba rating","no aba r","6/21/41","1","6/30/41","reported","data una","data una","7/7/41","confirme","voice vo","voice vo","nominee","888. NOMINATION NOT WITHDRAWN","7/11/41","data unavail","data unavail","data unavail","data unavail","data unavail","data unavail","data unav","data unavail","data unav","data unavail","data unav","data unavail","data unav","data unavail","data unav","data unavail","data unav","data unavail","data unav","data unavail","10/9/54","62","died in office","justice","Harlan, John Marshall (II)","10/9/54","washingt","district","62",84
"132","Rutledge, Wiley Blount",1943,"associat","no, not","yes, nom","132. rutledge, wiley blount","first re",4.19,"85","DC.06.01","07/20/1894",1894,"cloverpo","kentucky","cloverpo","kentucky","small to","middle","no tradi","unitaria","english","white","male","Wigginton, Mary Lou","Rutledge, Wiley","baptist minister","no polit","no polit","wisconsi","graduate","1914","2","no gradu","no gradu","no gradu","no gradu","colorado","graduate","1922","2","888. NOMINEE DID NOT READ LAW","nominee","nominee","nominee","1","Person, Annabel","1917","3","did not","did not","did not","did not","did not","nominee did not clerk for a supreme court justice","nominee","nominee","colorado","1922","nominee","nominee","nominee","nominee","law  fir","colorado","1922","1924","only one","only one","only one","only one","colorado","professo","1924","1926","iowa, un","dean/pro","1935","1939","3","no","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","court of","1939","1943","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","no: nomi","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee did not serve on a st commission","nominee","nominee","1/11/43","1/11/43","u.s. cou","u.s. cou","nominee","not a pv","not a pv","nominee","nominee","nominee","nominee","nominee","nominee","nominee","888","nominee","nominee","4",48,"iowa","democrat","no known","Byrnes, James Frances","roosevelt, franklin delano","democrat","-0.377","71.6","82.5","democrat",0.013,"1","byrnes,","-0.134","reed, st","0.09","1","no aba rating","no aba r","1/22/43","1","2/1/43","reported","data una","data una","2/8/43","confirme","voice vo","voice vo","nominee","888. NOMINATION NOT WITHDRAWN","2/15/43","data unavail","data unavail","data unavail","data unavail","data unavail","data unavail","data unav","data unavail","data unav","data unavail","data unav","data unavail","data unav","data unavail","data unav","data unavail","data unav","data unavail","data unav","data unavail","9/10/49","55","died in office","justice","Minton, Sherman","9/10/49","york, ma","maine","55",85
"133","Burton, Harold Hitz",1945,"associat","no, not","yes, nom","133. burton, harold hitz","first re",9.15,"86","888","06/22/1888",1888,"jamaica","massachu","jamaica","massachu","urban (l","middle","no tradi","unitaria","english/swiss","white","male","Hitz, Gertrude","Burton, Alfred E.","professor","no polit","no polit","bowdoin","graduate","1909","1","no gradu","no gradu","no gradu","no gradu","harvard","graduate","1912","1","888. NOMINEE DID NOT READ LAW","nominee","nominee","nominee","1","Smith, Selma Florence","1912","4","army","1917","1918","captain","world wa","nominee did not clerk for a supreme court justice","nominee","nominee","ohio","1912","utah","1914","nominee","nominee","law  fir","ohio","1912","1914","law  fir","ohio","1932","1935","western","instruct","1923","1925","nominee","nominee","nominee","nominee","1","no","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","ohio","1941","1945","nominee","nominee","nominee","no: nomi","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","clevelan","1935","1940","nominee","nominee","nominee","ohio","1929","1929","nominee","nominee","nominee","nominee did not serve on a st commission","nominee","nominee","9/18/45","9/18/45","nominee","nominee","nominee","not a pv","not a pv","nominee","nominee","nominee","member o","ohio","nominee","nominee","888","nominee","nominee","4",57,"ohio","republic","no known","Roberts, Owen Josephus","truman, harry s.","democrat","-0.368","74.3","74.6","democrat",0.014,"0.28","reed, st","-0.027","reed, st","-0.208","0.93","no aba rating","no aba r","666. NO RECORD OF HEARING","referred","9/19/45","reported","no recor","no recor","9/19/45","confirme","voice vo","voice vo","nominee","888. NOMINATION NOT WITHDRAWN","10/1/45","data unavail","data unavail","data unavail","data unavail","data unavail","data unavail","data unav","data unavail","data unav","data unavail","data unav","data unavail","data unav","data unavail","data unav","data unavail","data unav","data unavail","data unav","data unavail","10/13/58","70","declining health","justice","Stewart, Potter","10/28/64","washingt","district","76",86
"134","Vinson, Fred Moore",1946,"chief ju","no, not","yes, nom","134. vinson, fred moore","first re",1.18,"87","DC.03.04","01/22/1890",1890,"louisa,","kentucky","louisa,","kentucky","small to","lower-mi","no tradi","methodis","english","white","male","Ferguson, Virginia","Vinson, James","county jailer","state lo","1","centre c","graduate","1909","1","no gradu","no gradu","no gradu","no gradu","centre c","graduate","1911","1","888. NOMINEE DID NOT READ LAW","nominee","nominee","nominee","1","Dixson, Roberta","1923","2","army","1917","1919","private","world wa","nominee did not clerk for a supreme court justice","nominee","nominee","kentucky","1911","nominee","nominee","nominee","nominee","small pa","kentucky","1911","1923","solo pra","kentucky","1929","1931","didn't t","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","court of","1937","1943","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","treasury","1945","1946","federal","1945","1945","economic","1943","1945","nominee","nominee","kentucky","1923","1929","kentucky","1931","1938","nominee","nominee","nominee","nominee","nominee","nominee","no: nomi","nominee","nominee","nominee","nominee","nominee","nominee","nominee","louisa,","1913","1913","nominee","nominee","nominee","kentucky","1921","1924","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee","nominee did not serve on a st commission","nominee","nominee","6/6/46","6/6/46","nominee","nominee","nominee","not a pv","not a pv","nominee","nominee","nominee","nominee","nominee","nominee","nominee","888","nominee","secretar","1",56,"kentucky","democrat","no known","Stone, Harlan Fiske","truman, harry s.","democrat","-0.368","74.3","74.6","democrat",0.014,"0.75","reed, st","-0.208","reed, st","-0.021","0.785","no aba rating","no aba r","6/14/46","1","6/19/46","reported","data una","data una","6/20/46","confirme","voice vo","voice vo","nominee","888. NOMINATION NOT WITHDRAWN","6/24/46","746","74","26","21","0","0","29.57","115","45.21","73","25.58","43","34.15","41","53.21","218","46.67","30","73.47","49","9/8/53","63","died in office","justice","Warren, Earl","9/8/53","washingt","district","63",87
