Year,Mood
1952,50.739
1953,55.294
1954,59.835
1955,63.132
1956,61.722
1957,58.294
1958,63.129
1959,64.962
1960,64.887
1961,68.686
1962,68.834
1963,65.454
1964,62.425
1965,58.67
1966,60.793
1967,61.332
1968,58.163
1969,54.38
1970,60.555
1971,64.077
1972,63.641
1973,58.931
1974,58.09
1975,57.631
1976,57.035
1977,55.22
1978,54.948
1979,54.818
1980,51.964
1981,53.775
1982,53.957
1983,58.34
1984,58.909
1985,58.921
1986,60.282
1987,62.903
1988,64.776
1989,66.051
1990,64.581
1991,65.469
1992,65.432
1993,62.485
1994,58.248
1995,56.342
1996,56.744
1997,58.809
1998,59.161
1999,60.544
2000,60.582
2001,59.524
2002,63.798
2003,65.837
2004,64.765
2005,66.516
2006,66.419
2007,66.727
2008,66.619
2009,65.238
2010,61.48
2011,62.361
2012,61.254
2013,60.408
2014,59.106
